"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","515","[gRPC][Kafka] Operation events. Completed purchase operation","tests.suites.grpc","Thu May 28 08:08:41 UTC 2026","passed","Thu May 28 08:08:42 UTC 2026","TestOperationsGRPC","test_operations","",""
"","74","[HTTP] Get user details. User with active credit card account","tests.suites.http","Thu May 28 08:08:42 UTC 2026","passed","Thu May 28 08:08:42 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","557","[HTTP][Kafka] Operation events. In progress purchase operation","tests.suites.http","Thu May 28 08:08:42 UTC 2026","passed","Thu May 28 08:08:42 UTC 2026","TestOperationsHTTP","test_operations","",""
"","54","[HTTP] Get account details. User with active debit card account","tests.suites.http","Thu May 28 08:08:42 UTC 2026","passed","Thu May 28 08:08:42 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","24","[gRPC] Get user details. User with active credit card account","tests.suites.grpc","Thu May 28 08:08:40 UTC 2026","passed","Thu May 28 08:08:40 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","30","[gRPC][Postgres] Filter by card id. In progress purchase operation","tests.suites.grpc","Thu May 28 08:08:42 UTC 2026","passed","Thu May 28 08:08:42 UTC 2026","TestOperationsGRPC","test_operations","",""
"","561","[gRPC][Kafka] Operation events. In progress purchase operation","tests.suites.grpc","Thu May 28 08:08:41 UTC 2026","passed","Thu May 28 08:08:41 UTC 2026","TestOperationsGRPC","test_operations","",""
"","53","[gRPC] Get account details. User with active debit card account","tests.suites.grpc","Thu May 28 08:08:40 UTC 2026","passed","Thu May 28 08:08:41 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","12","[gRPC][Postgres] Filter by account id. Completed purchase operation","tests.suites.grpc","Thu May 28 08:08:42 UTC 2026","passed","Thu May 28 08:08:42 UTC 2026","TestOperationsGRPC","test_operations","",""
"","14","[HTTP][Postgres] Filter by card id. In progress purchase operation","tests.suites.http","Thu May 28 08:08:42 UTC 2026","passed","Thu May 28 08:08:42 UTC 2026","TestOperationsHTTP","test_operations","",""
