"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","[gRPC][Postgres] Filter by account id. Completed purchase operation","tests.suites.grpc","Thu May 28 07:45:52 UTC 2026","passed","Thu May 28 07:45:52 UTC 2026","TestOperationsGRPC","test_operations","",""
"","28","[gRPC][Postgres] Filter by card id. In progress purchase operation","tests.suites.grpc","Thu May 28 07:45:52 UTC 2026","passed","Thu May 28 07:45:52 UTC 2026","TestOperationsGRPC","test_operations","",""
"","556","[HTTP][Kafka] Operation events. In progress purchase operation","tests.suites.http","Thu May 28 07:45:52 UTC 2026","passed","Thu May 28 07:45:53 UTC 2026","TestOperationsHTTP","test_operations","",""
"","557","[gRPC][Kafka] Operation events. In progress purchase operation","tests.suites.grpc","Thu May 28 07:45:51 UTC 2026","passed","Thu May 28 07:45:52 UTC 2026","TestOperationsGRPC","test_operations","",""
"","514","[gRPC][Kafka] Operation events. Completed purchase operation","tests.suites.grpc","Thu May 28 07:45:52 UTC 2026","passed","Thu May 28 07:45:52 UTC 2026","TestOperationsGRPC","test_operations","",""
"","13","[HTTP][Postgres] Filter by card id. In progress purchase operation","tests.suites.http","Thu May 28 07:45:53 UTC 2026","passed","Thu May 28 07:45:53 UTC 2026","TestOperationsHTTP","test_operations","",""
